"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"272","1995","平成","7","2","16~17","塗装工事の工程管理のための写真撮影中、足場から3.5m下の地上に墜落した。","3","建設業","302","建築工事業","","","10~29","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"273","1995","平成","7","2","17~18","タンクローリーで走行中、事故のため停車し、同車のホース等の片付けをしていたところ、後方から来た乗用車にはねられた。","4","運輸交通業","403","道路貨物運送業","","","30~49","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"274","1995","平成","7","2","20~21","店内の絨毯を貼る作業中、揮発性接着剤にストーブの火が引火し、火災が発生した。(外)","14","接客娯楽業","","","","","1~9","5","物質、材料","51","危険物、有害物等","","","16","火災"
"275","1995","平成","7","2","4~5","荷を運搬中、対向車線から飛び出してきたトラックと激突した。","4","運輸交通業","403","道路貨物運送業","","","100~299","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"276","1995","平成","7","2","9~10","チェーンソーで枝下ろし作業中、胴綱を結びつけた枝が切断し、墜落した。","6","農林業","601","農業","","","1~9","7","環境等","71","環境等","","","1","墜落、転落"
"277","1995","平成","7","2","10~11","道路舗装工事現場において、竹ぼうきでアスファルト屑を清掃中、後進してきたロードローラーに轢かれた。","3","建設業","301","土木工事業","","","10~29","1","動力機械","14","建設機械等","","","6","激突され"
"278","1995","平成","7","2","10~11","除雪機を車庫に入れるため後進させていたところ、除雪機と車庫の壁に挟まれた。","15","清掃・と畜業","","","","","100~299","1","動力機械","16","一般動力機械","","","7","はさまれ、巻き込まれ"
"279","1995","平成","7","2","11~12","土捨て場において、土砂を捨てるためダンプカーを後進させていたところ、約17m下に転落した。","2","鉱業","202","土石採取業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","1","墜落、転落"
"280","1995","平成","7","2","12~13","交通監視カメラの点検作業現場で車両誘導中、タクシーにはねられた。","17","その他の事業","","","","","50~99","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"281","1995","平成","7","2","13~14","林道の水路改修工事現場において、ドラグ・ショベルでU字溝を吊っていたところ、路肩から約16m下に転落した。","3","建設業","301","土木工事業","","","1~9","1","動力機械","14","建設機械等","","","1","墜落、転落"
